length,num_chars,num_digits,num_upper,num_lower,num_special,num_vowels,class
19,8,0,0,8,11,4,Weak
19,5,0,0,5,14,1,Good
19,8,0,0,8,11,1,Weak
19,9,0,0,9,10,5,Weak
19,7,0,7,0,12,2,Weak
19,10,0,10,0,9,1,Weak
19,10,0,10,0,9,2,Weak
19,7,0,7,0,12,3,Weak
19,9,0,9,0,10,2,Good
19,8,0,8,0,11,1,Weak
19,9,0,9,0,10,1,Weak
19,7,0,7,0,12,3,Good
19,11,0,11,0,8,3,Weak
19,12,0,12,0,7,4,Weak
19,7,0,7,0,12,1,Weak
19,10,0,10,0,9,0,Good
19,8,0,8,0,11,2,Good
19,4,0,4,0,15,1,Weak
19,6,0,6,0,13,1,Good
19,10,0,10,0,9,1,Good
19,9,0,9,0,10,0,Weak
19,4,0,4,0,15,0,Weak
19,9,0,9,0,10,2,Weak
19,5,0,5,0,14,0,Weak
19,10,0,10,0,9,2,Good
19,5,0,5,0,14,2,Weak
19,8,0,8,0,11,0,Weak
19,12,0,12,0,7,3,Weak
19,10,0,10,0,9,4,Weak
19,9,0,9,0,10,4,Weak
19,11,0,11,0,8,2,Good
19,8,0,8,0,11,4,Weak
19,11,0,11,0,8,2,Weak
19,13,0,13,0,6,4,Weak
19,7,0,7,0,12,0,Weak
19,6,0,6,0,13,1,Weak
19,6,0,6,0,13,2,Weak
19,12,0,12,0,7,2,Weak
19,9,0,5,4,10,1,Strong
19,16,0,13,3,3,4,Strong
19,14,0,3,11,5,1,Good
19,10,0,6,4,9,1,Strong
19,9,0,6,3,10,3,Strong
19,10,0,3,7,9,0,Strong
19,11,0,6,5,8,1,Strong
19,15,0,4,11,4,3,Strong
19,11,0,6,5,8,0,Strong
19,14,0,5,9,5,3,Strong
19,17,0,8,9,2,6,Good
19,12,0,5,7,7,2,Strong
19,9,0,3,6,10,0,Strong
19,12,0,6,6,7,3,Strong
19,14,0,7,7,5,3,Strong
19,11,0,5,6,8,3,Strong
19,10,0,6,4,9,4,Strong
19,13,0,6,7,6,0,Good
19,11,0,3,8,8,3,Strong
19,13,0,6,7,6,4,Strong
19,13,0,8,5,6,1,Strong
19,14,0,6,8,5,4,Good
19,11,0,9,2,8,3,Strong
19,10,0,6,4,9,0,Strong
19,12,0,5,7,7,2,Good
19,8,0,3,5,11,0,Good
19,15,0,9,6,4,1,Strong
19,10,0,8,2,9,1,Strong
19,11,0,6,5,8,2,Strong
19,13,0,5,8,6,2,Strong
19,10,0,6,4,9,3,Strong
19,11,0,5,6,8,0,Strong
19,12,0,6,6,7,3,Good
19,16,0,10,6,3,2,Strong
19,12,0,7,5,7,1,Good
19,13,0,9,4,6,3,Strong
19,13,0,7,6,6,3,Strong
19,12,0,7,5,7,3,Strong
19,13,0,7,6,6,4,Strong
19,9,0,4,5,10,1,Strong
19,10,0,4,6,9,0,Strong
19,11,0,3,8,8,2,Strong
19,16,0,9,7,3,3,Strong
19,10,0,3,7,9,1,Strong
19,12,0,4,8,7,0,Good
19,11,0,5,6,8,4,Good
19,12,0,6,6,7,2,Strong
19,11,0,2,9,8,2,Strong
19,0,7,0,0,12,0,Weak
19,0,6,0,0,13,0,Weak
19,0,2,0,0,17,0,Weak
19,0,8,0,0,11,0,Weak
19,0,5,0,0,14,0,Weak
19,0,4,0,0,15,0,Weak
19,0,1,0,0,18,0,Weak
19,0,3,0,0,16,0,Weak
19,0,10,0,0,9,0,Weak
19,0,9,0,0,10,0,Weak
19,9,2,0,9,8,2,Good
19,7,5,0,7,7,0,Good
19,4,1,0,4,14,0,Good
19,7,3,0,7,9,2,Good
19,9,2,0,9,8,0,Good
19,8,3,0,8,8,3,Good
19,5,3,0,5,11,2,Good
19,10,2,0,10,7,2,Good
19,8,1,0,8,10,0,Good
19,11,3,0,11,5,1,Good
19,7,2,0,7,10,1,Good
19,7,4,0,7,8,3,Good
19,9,2,0,9,8,1,Good
19,6,4,0,6,9,1,Good
19,8,4,0,8,7,0,Good
19,6,3,0,6,10,0,Good
19,9,2,0,9,8,3,Good
19,10,1,0,10,8,3,Good
19,9,6,0,9,4,3,Good
19,8,2,0,8,9,2,Good
19,3,4,0,3,12,0,Good
19,6,4,0,6,9,2,Good
19,8,5,0,8,6,4,Good
19,4,4,0,4,11,1,Good
19,13,2,0,13,4,1,Good
19,3,2,0,3,14,2,Good
19,7,4,0,7,8,1,Good
19,9,4,0,9,6,2,Good
19,5,2,0,5,12,2,Good
19,10,4,0,10,5,4,Good
19,8,3,0,8,8,0,Good
19,7,3,0,7,9,3,Good
19,7,2,0,7,10,0,Good
19,5,5,0,5,9,0,Good
19,12,2,0,12,5,3,Good
19,3,7,0,3,9,2,Good
19,9,3,0,9,7,0,Good
19,8,5,0,8,6,0,Good
19,8,3,0,8,8,1,Good
19,11,4,0,11,4,1,Good
19,7,6,0,7,6,0,Good
19,9,3,0,9,7,1,Good
19,8,1,0,8,10,4,Good
19,11,1,0,11,7,2,Good
19,8,2,0,8,9,3,Good
19,8,3,0,8,8,2,Good
19,4,2,0,4,13,0,Good
19,9,1,9,0,9,1,Good
19,7,3,7,0,9,0,Good
19,8,2,8,0,9,2,Good
19,9,2,9,0,8,2,Good
19,8,4,8,0,7,1,Good
19,9,3,9,0,7,3,Good
19,10,4,10,0,5,1,Good
19,7,4,7,0,8,3,Good
19,7,2,7,0,10,1,Good
19,5,4,5,0,10,1,Good
19,6,3,6,0,10,1,Good
19,7,4,7,0,8,1,Good
19,7,1,7,0,11,1,Good
19,10,3,10,0,6,3,Good
19,6,3,6,0,10,3,Good
19,8,3,8,0,8,2,Good
19,7,3,7,0,9,1,Weak
19,9,2,9,0,8,3,Good
19,7,2,7,0,10,0,Weak
19,5,2,5,0,12,0,Good
19,6,2,6,0,11,3,Good
19,6,6,6,0,7,0,Good
19,16,1,16,0,2,5,Good
19,5,3,5,0,11,1,Good
19,8,2,8,0,9,1,Good
19,6,1,6,0,12,1,Good
19,4,5,4,0,10,1,Good
19,6,4,6,0,9,0,Good
19,8,2,8,0,9,3,Good
19,6,6,6,0,7,3,Good
19,11,1,11,0,7,1,Good
19,7,5,7,0,7,1,Good
19,8,3,8,0,8,0,Good
19,6,4,6,0,9,1,Good
19,7,3,7,0,9,1,Good
19,5,2,5,0,12,1,Good
19,7,3,7,0,9,0,Weak
19,8,2,8,0,9,5,Good
19,6,5,6,0,8,1,Good
19,8,1,8,0,10,1,Good
19,9,4,9,0,6,1,Weak
19,11,3,8,3,5,1,Strong
19,12,2,8,4,5,1,Strong
19,14,1,5,9,4,1,Strong
19,7,4,3,4,8,1,Strong
19,11,1,6,5,7,3,Strong
19,12,3,6,6,4,2,Strong
19,11,3,5,6,5,5,Strong
19,7,3,3,4,9,1,Strong
19,11,3,7,4,5,2,Strong
19,12,1,4,8,6,2,Strong
19,10,2,4,6,7,2,Strong
19,11,2,3,8,6,0,Strong
19,8,2,3,5,9,1,Strong
19,9,1,6,3,9,3,Strong
19,8,2,6,2,9,3,Strong
19,12,2,6,6,5,3,Strong
19,10,4,4,6,5,2,Strong
19,14,1,7,7,4,3,Strong
19,13,3,5,8,3,1,Strong
19,10,2,2,8,7,4,Strong
19,14,3,6,8,2,3,Strong
19,10,4,4,6,5,4,Strong
19,11,2,8,3,6,3,Strong
19,8,4,5,3,7,2,Strong
19,9,3,6,3,7,2,Strong
19,8,3,5,3,8,1,Strong
19,14,1,6,8,4,4,Strong
19,12,3,8,4,4,0,Strong
19,5,5,3,2,9,2,Strong
19,13,3,7,6,3,3,Strong
19,9,3,4,5,7,1,Strong
19,14,3,6,8,2,2,Strong
19,11,1,3,8,7,2,Strong
19,9,3,5,4,7,2,Strong
19,9,3,4,5,7,2,Strong
19,7,3,4,3,9,3,Strong
19,11,2,6,5,6,3,Strong
19,13,2,5,8,4,4,Strong
19,9,3,3,6,7,1,Strong
19,10,2,5,5,7,3,Strong
19,8,3,1,7,8,1,Strong
19,12,1,5,7,6,2,Strong
19,9,6,4,5,4,0,Strong
19,14,2,10,4,3,1,Strong
19,12,2,3,9,5,0,Strong
19,13,1,6,7,5,3,Strong
19,12,1,9,3,6,2,Strong
19,14,1,6,8,4,3,Strong
19,10,4,7,3,5,2,Strong
19,11,2,5,6,6,3,Strong
20,20,0,0,20,0,0,Weak
20,20,0,0,20,0,4,Weak
20,20,0,0,20,0,5,Weak
20,20,0,0,20,0,2,Weak
20,20,0,0,20,0,3,Weak
20,20,0,0,20,0,6,Weak
20,20,0,0,20,0,1,Weak
20,20,0,0,20,0,8,Weak
20,20,0,20,0,0,4,Weak
20,20,0,20,0,0,2,Weak
20,20,0,20,0,0,5,Weak
20,20,0,20,0,0,3,Weak
20,20,0,20,0,0,1,Weak
20,20,0,20,0,0,6,Weak
20,20,0,20,0,0,8,Weak
20,20,0,14,6,0,5,Good
20,20,0,9,11,0,4,Good
20,20,0,13,7,0,9,Good
20,20,0,9,11,0,5,Strong
20,20,0,13,7,0,2,Good
20,20,0,7,13,0,5,Strong
20,20,0,11,9,0,5,Good
20,20,0,10,10,0,3,Good
20,20,0,10,10,0,0,Strong
20,20,0,14,6,0,4,Good
20,20,0,8,12,0,2,Strong
20,20,0,7,13,0,1,Strong
20,20,0,14,6,0,3,Good
20,20,0,9,11,0,2,Strong
20,20,0,12,8,0,4,Good
20,20,0,9,11,0,4,Strong
20,20,0,11,9,0,1,Good
20,20,0,9,11,0,3,Good
20,20,0,11,9,0,4,Good
20,20,0,9,11,0,5,Good
20,20,0,10,10,0,7,Good
20,20,0,13,7,0,3,Good
20,20,0,8,12,0,3,Strong
20,20,0,11,9,0,4,Strong
20,20,0,6,14,0,3,Strong
20,20,0,8,12,0,4,Good
20,20,0,11,9,0,2,Good
20,20,0,5,15,0,5,Good
20,20,0,10,10,0,5,Strong
20,20,0,8,12,0,7,Good
20,20,0,9,11,0,6,Strong
20,20,0,8,12,0,4,Strong
20,20,0,8,12,0,5,Good
20,20,0,7,13,0,1,Good
20,20,0,11,9,0,3,Good
20,20,0,10,10,0,2,Strong
20,20,0,8,12,0,1,Good
20,20,0,12,8,0,4,Strong
20,20,0,12,8,0,2,Good
20,20,0,10,10,0,5,Good
20,20,0,14,6,0,2,Good
20,20,0,6,14,0,1,Good
20,0,20,0,0,0,0,Weak
20,15,5,0,15,0,3,Good
20,16,4,0,16,0,1,Good
20,13,7,0,13,0,5,Good
20,16,4,0,16,0,2,Good
20,14,6,0,14,0,0,Weak
20,15,5,0,15,0,5,Good
20,14,6,0,14,0,4,Good
20,15,5,0,15,0,1,Good
20,13,7,0,13,0,2,Weak
20,13,7,0,13,0,4,Weak
20,15,5,0,15,0,4,Weak
20,17,3,0,17,0,3,Good
20,16,4,0,16,0,4,Weak
20,12,8,0,12,0,2,Good
20,17,3,0,17,0,4,Good
20,16,4,0,16,0,4,Good
20,17,3,0,17,0,0,Weak
20,11,9,0,11,0,2,Good
20,15,5,0,15,0,3,Weak
20,18,2,0,18,0,2,Good
20,13,7,0,13,0,4,Good
20,14,6,0,14,0,3,Good
20,18,2,0,18,0,3,Weak
20,12,8,0,12,0,1,Good
20,15,5,0,15,0,2,Good
20,15,5,0,15,0,5,Weak
20,18,2,0,18,0,1,Good
20,17,3,0,17,0,6,Good
20,14,6,0,14,0,2,Good
20,17,3,0,17,0,1,Good
20,18,2,0,18,0,5,Good
20,16,4,0,16,0,3,Good
20,12,8,0,12,0,3,Good
20,16,4,0,16,0,1,Weak
20,15,5,0,15,0,6,Good
20,16,4,16,0,0,7,Weak
20,14,6,14,0,0,3,Good
20,16,4,16,0,0,6,Good
20,16,4,16,0,0,4,Good
20,13,7,13,0,0,0,Good
20,12,8,12,0,0,3,Good
20,12,8,12,0,0,2,Good
20,14,6,14,0,0,1,Good
20,17,3,17,0,0,4,Good
20,12,8,12,0,0,1,Good
20,15,5,15,0,0,8,Good
20,15,5,15,0,0,4,Good
20,11,9,11,0,0,2,Good
20,13,7,13,0,0,4,Good
20,15,5,15,0,0,2,Good
20,18,2,18,0,0,4,Good
20,11,9,11,0,0,5,Good
20,12,8,12,0,0,4,Weak
20,18,2,18,0,0,1,Good
20,17,3,17,0,0,7,Weak
20,15,5,15,0,0,3,Weak
20,15,5,15,0,0,1,Good
20,14,6,14,0,0,2,Weak
20,13,7,13,0,0,2,Good
20,13,7,13,0,0,3,Good
20,15,5,15,0,0,6,Good
20,14,6,14,0,0,5,Good
20,16,4,16,0,0,4,Weak
20,13,7,13,0,0,1,Weak
20,11,9,11,0,0,2,Weak
20,17,3,17,0,0,1,Good
20,12,8,12,0,0,5,Good
20,16,4,16,0,0,1,Good
20,18,2,18,0,0,2,Good
20,17,3,17,0,0,3,Weak
20,18,2,10,8,0,3,Strong
20,18,2,7,11,0,5,Strong
20,14,6,11,3,0,7,Strong
20,15,5,7,8,0,4,Strong
20,14,6,3,11,0,3,Strong
20,15,5,7,8,0,1,Strong
20,16,4,8,8,0,2,Strong
20,17,3,7,10,0,5,Strong
20,19,1,9,10,0,5,Strong
20,18,2,12,6,0,1,Strong
20,19,1,8,11,0,2,Strong
20,18,2,11,7,0,5,Strong
20,15,5,11,4,0,2,Strong
20,18,2,8,10,0,5,Strong
20,14,6,5,9,0,4,Strong
20,16,4,7,9,0,4,Strong
20,18,2,9,9,0,1,Strong
20,19,1,9,10,0,3,Strong
20,14,6,5,9,0,1,Strong
20,16,4,9,7,0,1,Strong
20,14,6,6,8,0,4,Strong
20,19,1,10,9,0,2,Strong
20,18,2,6,12,0,2,Strong
20,14,6,4,10,0,2,Strong
20,15,5,9,6,0,2,Strong
20,19,1,6,13,0,7,Strong
20,15,5,8,7,0,2,Strong
20,17,3,5,12,0,3,Strong
20,14,6,8,6,0,1,Strong
20,15,5,5,10,0,2,Strong
20,15,5,10,5,0,5,Strong
20,17,3,9,8,0,4,Strong
20,18,2,9,9,0,5,Strong
20,18,2,7,11,0,2,Strong
20,18,2,12,6,0,3,Strong
20,19,1,11,8,0,4,Strong
20,14,6,8,6,0,2,Strong
20,17,3,11,6,0,4,Strong
20,16,4,9,7,0,2,Strong
20,19,1,14,5,0,5,Strong
20,16,4,6,10,0,3,Strong
20,19,1,7,12,0,5,Strong
20,17,3,7,10,0,2,Strong
20,17,3,10,7,0,3,Strong
20,13,7,11,2,0,2,Strong
20,18,2,8,10,0,3,Strong
20,18,2,4,14,0,6,Strong
20,16,4,11,5,0,3,Strong
20,18,2,9,9,0,4,Strong
20,0,0,0,0,20,0,Weak
20,7,0,0,7,13,2,Weak
20,8,0,0,8,12,1,Weak
20,12,0,0,12,8,4,Weak
20,10,0,0,10,10,3,Good
20,7,0,0,7,13,1,Good
20,10,0,0,10,10,0,Weak
20,10,0,0,10,10,2,Weak
20,11,0,0,11,9,1,Weak
20,4,0,0,4,16,1,Good
20,8,0,0,8,12,2,Weak
20,12,0,0,12,8,5,Weak
20,11,0,0,11,9,1,Good
20,11,0,0,11,9,3,Weak
20,6,0,0,6,14,2,Weak
20,9,0,0,9,11,0,Weak
20,9,0,0,9,11,1,Weak
20,7,0,0,7,13,1,Weak
20,12,0,0,12,8,2,Good
20,12,0,0,12,8,1,Weak
20,7,0,0,7,13,3,Good
20,8,0,0,8,12,3,Good
20,10,0,0,10,10,2,Good
20,6,0,0,6,14,1,Good
20,4,0,0,4,16,0,Weak
20,13,0,0,13,7,5,Weak
20,7,0,0,7,13,2,Good
20,9,0,0,9,11,4,Weak
20,12,0,0,12,8,3,Weak
20,11,0,0,11,9,0,Weak
20,9,0,0,9,11,1,Good
20,11,0,0,11,9,2,Weak
20,6,0,0,6,14,0,Weak
20,11,0,0,11,9,2,Good
20,8,0,0,8,12,5,Weak
20,9,0,0,9,11,2,Weak
20,9,0,0,9,11,2,Good
20,15,0,0,15,5,0,Weak
20,8,0,0,8,12,2,Good
20,10,0,10,0,10,1,Weak
20,8,0,8,0,12,3,Weak
20,9,0,9,0,11,1,Weak
20,12,0,12,0,8,5,Weak
20,10,0,10,0,10,2,Weak
20,8,0,8,0,12,2,Weak
20,10,0,10,0,10,3,Weak
20,11,0,11,0,9,3,Weak
20,8,0,8,0,12,3,Good
20,10,0,10,0,10,1,Good
20,11,0,11,0,9,2,Weak
20,8,0,8,0,12,1,Good
20,8,0,8,0,12,2,Good
20,11,0,11,0,9,1,Good
20,13,0,13,0,7,1,Weak
20,9,0,9,0,11,2,Weak
20,6,0,6,0,14,2,Good
20,6,0,6,0,14,1,Weak
20,9,0,9,0,11,3,Good
20,5,0,5,0,15,0,Good
20,9,0,9,0,11,0,Weak
20,9,0,9,0,11,2,Good
20,7,0,7,0,13,2,Weak
20,7,0,7,0,13,3,Weak
20,11,0,11,0,9,5,Good
20,7,0,7,0,13,1,Weak
20,9,0,9,0,11,1,Good
20,14,0,14,0,6,3,Weak
20,6,0,6,0,14,0,Weak
20,10,0,10,0,10,2,Good
20,7,0,7,0,13,0,Weak
20,7,0,7,0,13,1,Good
20,11,0,5,6,9,2,Strong
20,9,0,5,4,11,2,Strong
20,10,0,2,8,10,0,Strong
20,12,0,7,5,8,1,Strong
20,15,0,8,7,5,1,Strong
20,13,0,5,8,7,2,Strong
20,10,0,7,3,10,2,Strong
20,7,0,4,3,13,0,Strong
20,13,0,5,8,7,1,Strong
20,15,0,7,8,5,2,Strong
20,10,0,4,6,10,3,Strong
20,12,0,5,7,8,2,Strong
20,13,0,8,5,7,4,Strong
20,17,0,9,8,3,3,Good
20,14,0,10,4,6,1,Strong
20,14,0,9,5,6,1,Strong
20,15,0,8,7,5,3,Strong
20,15,0,4,11,5,4,Strong
20,9,0,3,6,11,2,Strong
20,16,0,9,7,4,7,Strong
20,9,0,2,7,11,1,Strong
20,12,0,8,4,8,5,Strong
20,10,0,8,2,10,1,Strong
20,15,0,11,4,5,3,Good
20,12,0,6,6,8,1,Strong
20,13,0,7,6,7,3,Strong
20,15,0,10,5,5,2,Strong
20,12,0,6,6,8,3,Strong
20,13,0,6,7,7,2,Strong
20,12,0,7,5,8,4,Strong
20,13,0,7,6,7,1,Strong
20,11,0,6,5,9,3,Strong
20,15,0,7,8,5,2,Good
20,17,0,8,9,3,4,Good
20,9,0,4,5,11,1,Strong
20,14,0,5,9,6,1,Good
20,12,0,8,4,8,2,Strong
20,16,0,8,8,4,3,Strong
20,14,0,7,7,6,3,Strong
20,16,0,9,7,4,5,Strong
20,14,0,4,10,6,4,Good
20,14,0,5,9,6,4,Strong
20,15,0,7,8,5,1,Strong
20,13,0,8,5,7,3,Strong
20,10,0,7,3,10,5,Strong
20,11,0,5,6,9,1,Strong
20,10,0,6,4,10,3,Strong
20,13,0,8,5,7,3,Good
20,14,0,8,6,6,4,Strong
20,9,0,6,3,11,0,Strong
20,0,6,0,0,14,0,Weak
20,0,4,0,0,16,0,Weak
20,0,3,0,0,17,0,Weak
20,0,1,0,0,19,0,Weak
20,0,8,0,0,12,0,Weak
20,0,7,0,0,13,0,Weak
20,0,5,0,0,15,0,Weak
20,0,2,0,0,18,0,Weak
20,0,9,0,0,11,0,Weak
20,8,4,0,8,8,2,Good
20,9,2,0,9,9,3,Good
20,8,1,0,8,11,2,Good
20,9,4,0,9,7,1,Good
20,7,4,0,7,9,0,Good
20,7,3,0,7,10,1,Good
20,6,4,0,6,10,2,Good
20,7,5,0,7,8,0,Good
20,10,2,0,10,8,5,Good
20,7,4,0,7,9,1,Good
20,11,3,0,11,6,4,Good
20,9,2,0,9,9,0,Good
20,12,5,0,12,3,1,Good
20,5,4,0,5,11,0,Good
20,9,2,0,9,9,1,Good
20,2,7,0,2,11,0,Good
20,9,3,0,9,8,1,Good
20,8,1,0,8,11,4,Good
20,6,5,0,6,9,0,Good
20,9,2,0,9,9,2,Good
20,5,2,0,5,13,0,Good
20,3,5,0,3,12,0,Good
20,7,2,0,7,11,3,Good
20,7,1,0,7,12,1,Good
20,9,1,0,9,10,1,Good
20,9,1,0,9,10,0,Good
20,10,3,0,10,7,4,Good
20,9,4,0,9,7,3,Good
20,4,2,0,4,14,0,Good
20,10,2,0,10,8,2,Good
20,5,7,0,5,8,3,Good
20,8,4,0,8,8,1,Good
20,6,6,0,6,8,3,Good
20,9,3,0,9,8,3,Weak
20,5,3,0,5,12,2,Good
20,10,4,0,10,6,1,Good
20,10,2,0,10,8,3,Good
20,7,3,0,7,10,2,Good
20,10,2,0,10,8,1,Good
20,7,3,0,7,10,0,Good
20,5,3,0,5,12,1,Good
20,6,3,0,6,11,1,Good
20,4,2,0,4,14,1,Good
20,9,1,0,9,10,3,Good
20,11,1,0,11,8,2,Good
20,5,3,0,5,12,0,Good
20,10,3,10,0,7,2,Good
20,7,2,7,0,11,2,Good
20,10,2,10,0,8,4,Good
20,9,1,9,0,10,1,Good
20,9,6,9,0,5,1,Good
20,10,4,10,0,6,1,Good
20,5,3,5,0,12,3,Good
20,9,5,9,0,6,2,Weak
20,10,4,10,0,6,3,Good
20,11,1,11,0,8,0,Good
20,8,4,8,0,8,1,Good
20,6,2,6,0,12,2,Good
20,11,3,11,0,6,1,Good
20,8,2,8,0,10,3,Good
20,4,4,4,0,12,2,Good
20,9,3,9,0,8,0,Good
20,9,2,9,0,9,3,Good
20,5,1,5,0,14,1,Good
20,9,4,9,0,7,0,Good
20,9,4,9,0,7,2,Good
20,8,3,8,0,9,3,Good
20,4,5,4,0,11,1,Good
20,6,6,6,0,8,2,Good
20,6,3,6,0,11,2,Good
20,9,2,9,0,9,1,Good
20,10,2,10,0,8,0,Good
20,9,3,9,0,8,1,Good
20,5,4,5,0,11,2,Good
20,5,4,5,0,11,1,Good
20,8,1,8,0,11,2,Good
20,5,2,5,0,13,2,Good
20,11,1,11,0,8,1,Good
20,8,4,8,0,8,2,Good
20,9,3,9,0,8,2,Good
20,11,2,11,0,7,3,Good
20,8,4,8,0,8,0,Good
20,4,1,4,0,15,0,Good
20,2,4,2,0,14,0,Good
20,7,6,7,0,7,2,Good
20,4,3,4,0,13,2,Good
20,7,1,7,0,12,1,Good
20,8,1,8,0,11,4,Good
20,10,3,10,0,7,1,Good
20,10,3,3,7,7,2,Strong
20,10,1,6,4,9,1,Strong
20,11,1,7,4,8,4,Strong
20,12,1,8,4,7,0,Strong
20,10,3,4,6,7,5,Strong
20,9,3,3,6,8,1,Strong
20,14,3,7,7,3,4,Strong
20,14,1,7,7,5,1,Strong
20,13,1,7,6,6,4,Strong
20,13,1,5,8,6,2,Strong
20,13,2,6,7,5,1,Strong
20,15,2,9,6,3,4,Strong
20,12,3,5,7,5,2,Strong
20,13,3,5,8,4,5,Strong
20,14,1,6,8,5,3,Strong
20,11,2,7,4,7,2,Strong
20,12,1,3,9,7,2,Strong
20,10,4,6,4,6,3,Strong
20,14,2,8,6,4,1,Strong
20,12,1,6,6,7,2,Strong
20,10,2,4,6,8,3,Strong
20,11,1,4,7,8,2,Strong
20,9,5,3,6,6,3,Strong
20,12,2,5,7,6,2,Strong
20,7,1,2,5,12,1,Strong
20,12,5,8,4,3,1,Strong
20,9,2,7,2,9,3,Strong
20,10,1,4,6,9,1,Strong
20,13,4,5,8,3,4,Strong
20,11,4,8,3,5,1,Strong
20,11,3,6,5,6,4,Strong
20,11,3,7,4,6,1,Strong
20,11,2,5,6,7,3,Strong
20,11,3,3,8,6,1,Strong
20,11,2,8,3,7,1,Strong
20,11,5,3,8,4,3,Strong
20,14,2,9,5,4,4,Strong
20,12,3,7,5,5,3,Strong
20,5,4,3,2,11,1,Strong
20,13,2,5,8,5,1,Strong
20,12,1,10,2,7,4,Strong
20,6,3,5,1,11,1,Strong
20,12,1,6,6,7,1,Strong
20,11,1,5,6,8,1,Strong
20,13,1,6,7,6,5,Strong
20,11,2,6,5,7,1,Strong
20,12,2,6,6,6,2,Strong
20,13,3,7,6,4,3,Strong
20,12,2,6,6,6,5,Strong
